CMDLINE /home/r0b00sj/.conda/envs/capstone/bin/python fit_gensim_lda.py
MEM 3.000000 1522631202.5513
MEM 23.875000 1522631202.6515
MEM 45.187500 1522631202.7517
MEM 54.875000 1522631202.8519
MEM 77.187500 1522631202.9521
MEM 83.312500 1522631203.0522
MEM 87.437500 1522631203.1524
MEM 87.437500 1522631203.2526
MEM 87.437500 1522631203.3527
MEM 87.437500 1522631203.4529
MEM 87.437500 1522631203.5531
MEM 87.437500 1522631203.6533
MEM 87.437500 1522631203.7535
MEM 87.437500 1522631203.8537
MEM 87.437500 1522631203.9540
MEM 87.437500 1522631204.0542
MEM 87.437500 1522631204.1544
MEM 87.437500 1522631204.2547
MEM 87.437500 1522631204.3549
MEM 87.437500 1522631204.4551
MEM 87.437500 1522631204.5553
MEM 87.437500 1522631204.6556
MEM 87.437500 1522631204.7558
MEM 87.437500 1522631204.8560
MEM 87.437500 1522631204.9563
MEM 87.437500 1522631205.0565
MEM 87.437500 1522631205.1567
MEM 87.437500 1522631205.2570
MEM 87.437500 1522631205.3572
MEM 87.437500 1522631205.4574
MEM 87.437500 1522631205.5576
MEM 87.437500 1522631205.6579
MEM 87.437500 1522631205.7581
MEM 87.437500 1522631205.8583
MEM 87.437500 1522631205.9586
MEM 87.437500 1522631206.0588
MEM 87.437500 1522631206.1590
MEM 87.437500 1522631206.2593
MEM 87.437500 1522631206.3595
MEM 87.437500 1522631206.4597
MEM 87.437500 1522631206.5600
MEM 87.437500 1522631206.6602
MEM 87.437500 1522631206.7604
MEM 87.437500 1522631206.8606
MEM 87.437500 1522631206.9609
MEM 87.437500 1522631207.0611
MEM 87.437500 1522631207.1613
MEM 87.437500 1522631207.2616
MEM 87.437500 1522631207.3618
MEM 87.437500 1522631207.4620
MEM 87.437500 1522631207.5622
MEM 87.437500 1522631207.6651
MEM 87.437500 1522631207.7654
MEM 87.437500 1522631207.8656
MEM 87.437500 1522631207.9658
MEM 87.437500 1522631208.0661
MEM 87.437500 1522631208.1663
MEM 87.437500 1522631208.2665
MEM 87.437500 1522631208.3668
MEM 87.437500 1522631208.4670
MEM 87.437500 1522631208.5672
MEM 87.437500 1522631208.6674
MEM 87.437500 1522631208.7677
MEM 87.437500 1522631208.8679
MEM 87.437500 1522631208.9681
MEM 87.437500 1522631209.0684
MEM 87.437500 1522631209.1686
MEM 87.437500 1522631209.2688
MEM 87.437500 1522631209.3690
MEM 87.437500 1522631209.4693
MEM 87.437500 1522631209.5695
MEM 87.437500 1522631209.6697
MEM 87.437500 1522631209.7700
MEM 87.437500 1522631209.8702
MEM 87.437500 1522631209.9704
MEM 87.437500 1522631210.0706
MEM 87.437500 1522631210.1709
MEM 87.437500 1522631210.2711
MEM 87.437500 1522631210.3713
MEM 87.437500 1522631210.4716
MEM 87.437500 1522631210.5718
MEM 87.437500 1522631210.6720
MEM 87.437500 1522631210.7723
MEM 87.437500 1522631210.8725
MEM 87.437500 1522631210.9727
MEM 87.437500 1522631211.0729
MEM 87.437500 1522631211.1732
MEM 87.437500 1522631211.2734
MEM 87.437500 1522631211.3736
MEM 87.437500 1522631211.4739
MEM 87.437500 1522631211.5741
MEM 87.437500 1522631211.6743
MEM 87.437500 1522631211.7746
MEM 87.437500 1522631211.8748
MEM 87.437500 1522631211.9750
MEM 87.437500 1522631212.0753
MEM 87.437500 1522631212.1755
MEM 87.437500 1522631212.2757
MEM 87.437500 1522631212.3759
MEM 87.437500 1522631212.4762
MEM 87.437500 1522631212.5764
MEM 87.437500 1522631212.6766
MEM 87.437500 1522631212.7769
MEM 87.437500 1522631212.8771
MEM 87.437500 1522631212.9774
MEM 87.437500 1522631213.0776
MEM 87.437500 1522631213.1778
MEM 87.437500 1522631213.2781
MEM 87.437500 1522631213.3783
MEM 87.437500 1522631213.4785
MEM 87.437500 1522631213.5788
MEM 87.437500 1522631213.6790
MEM 87.437500 1522631213.7792
MEM 87.437500 1522631213.8795
MEM 87.437500 1522631213.9797
MEM 87.437500 1522631214.0799
MEM 87.437500 1522631214.1801
MEM 87.437500 1522631214.2804
MEM 87.437500 1522631214.3806
MEM 87.437500 1522631214.4808
MEM 87.437500 1522631214.5811
MEM 87.437500 1522631214.6813
MEM 87.437500 1522631214.7815
MEM 87.437500 1522631214.8817
MEM 87.437500 1522631214.9820
MEM 87.437500 1522631215.0822
MEM 95.000000 1522631215.1824
MEM 170.687500 1522631215.2827
MEM 172.625000 1522631215.3829
MEM 180.687500 1522631215.4832
MEM 196.687500 1522631215.5834
MEM 196.687500 1522631215.6836
MEM 204.687500 1522631215.7838
MEM 208.812500 1522631215.8841
MEM 212.875000 1522631215.9843
MEM 212.875000 1522631216.0845
MEM 212.875000 1522631216.1848
MEM 212.875000 1522631216.2850
MEM 212.875000 1522631216.3852
MEM 212.875000 1522631216.4854
MEM 212.875000 1522631216.5857
MEM 212.875000 1522631216.6859
MEM 212.875000 1522631216.7862
MEM 212.875000 1522631216.8864
MEM 212.875000 1522631216.9866
