CMDLINE /home/r0b00sj/.conda/envs/capstone/bin/python fit_gensim_lda.py
MEM 4.375000 1522615858.7879
MEM 23.875000 1522615858.8881
MEM 44.687500 1522615858.9883
MEM 55.125000 1522615859.0885
MEM 77.500000 1522615859.1886
MEM 84.812500 1522615859.2888
MEM 87.500000 1522615859.3890
MEM 87.500000 1522615859.4892
MEM 87.500000 1522615859.5894
MEM 87.500000 1522615859.6896
MEM 87.500000 1522615859.7898
MEM 87.500000 1522615859.8901
MEM 87.500000 1522615859.9903
MEM 87.500000 1522615860.0906
MEM 87.500000 1522615860.1908
MEM 87.500000 1522615860.2910
MEM 87.500000 1522615860.3913
MEM 87.500000 1522615860.4915
MEM 87.500000 1522615860.5917
MEM 87.500000 1522615860.6920
MEM 87.500000 1522615860.7922
MEM 87.500000 1522615860.8924
MEM 87.500000 1522615860.9927
MEM 87.500000 1522615861.0929
MEM 87.500000 1522615861.1931
MEM 87.500000 1522615861.2934
MEM 87.500000 1522615861.3936
MEM 87.500000 1522615861.4938
MEM 87.500000 1522615861.5941
MEM 87.500000 1522615861.6943
MEM 87.500000 1522615861.7946
MEM 87.500000 1522615861.8948
MEM 87.500000 1522615861.9950
MEM 87.500000 1522615862.0953
MEM 87.500000 1522615862.1955
MEM 87.500000 1522615862.2957
MEM 87.500000 1522615862.3960
MEM 87.500000 1522615862.4962
MEM 87.500000 1522615862.5964
MEM 87.500000 1522615862.6966
MEM 87.500000 1522615862.7969
MEM 87.500000 1522615862.8971
MEM 87.500000 1522615862.9973
MEM 87.500000 1522615863.0976
MEM 87.500000 1522615863.1978
MEM 87.500000 1522615863.2980
MEM 87.500000 1522615863.3983
MEM 87.500000 1522615863.4985
MEM 87.500000 1522615863.5987
MEM 87.500000 1522615863.6990
MEM 87.500000 1522615863.7992
MEM 87.500000 1522615863.8997
MEM 87.500000 1522615863.9999
MEM 87.500000 1522615864.1001
MEM 87.500000 1522615864.2004
MEM 87.500000 1522615864.3006
MEM 87.500000 1522615864.4008
MEM 87.500000 1522615864.5011
MEM 87.500000 1522615864.6013
MEM 87.500000 1522615864.7015
MEM 87.500000 1522615864.8018
MEM 87.500000 1522615864.9020
MEM 87.500000 1522615865.0022
MEM 87.500000 1522615865.1024
MEM 87.500000 1522615865.2027
MEM 87.500000 1522615865.3029
MEM 87.500000 1522615865.4031
MEM 87.500000 1522615865.5034
MEM 87.500000 1522615865.6036
MEM 87.500000 1522615865.7038
MEM 87.500000 1522615865.8041
MEM 87.500000 1522615865.9043
MEM 87.500000 1522615866.0045
MEM 87.500000 1522615866.1048
MEM 87.500000 1522615866.2050
MEM 87.500000 1522615866.3052
MEM 87.500000 1522615866.4054
MEM 87.500000 1522615866.5057
MEM 87.500000 1522615866.6059
MEM 87.500000 1522615866.7062
MEM 87.500000 1522615866.8064
MEM 87.500000 1522615866.9066
MEM 87.500000 1522615867.0068
MEM 87.500000 1522615867.1071
MEM 87.500000 1522615867.2073
MEM 87.500000 1522615867.3075
MEM 87.500000 1522615867.4078
MEM 87.500000 1522615867.5080
MEM 87.500000 1522615867.6082
MEM 87.500000 1522615867.7085
MEM 87.500000 1522615867.8087
MEM 87.500000 1522615867.9089
MEM 87.500000 1522615868.0092
MEM 87.500000 1522615868.1094
MEM 87.500000 1522615868.2096
MEM 87.500000 1522615868.3099
MEM 87.500000 1522615868.4101
MEM 87.500000 1522615868.5104
MEM 87.500000 1522615868.6106
MEM 87.500000 1522615868.7108
MEM 87.500000 1522615868.8110
MEM 87.500000 1522615868.9113
MEM 87.500000 1522615869.0116
MEM 87.500000 1522615869.1118
MEM 87.500000 1522615869.2120
MEM 87.500000 1522615869.3123
MEM 87.500000 1522615869.4125
MEM 87.500000 1522615869.5127
MEM 87.500000 1522615869.6130
MEM 87.500000 1522615869.7132
MEM 87.500000 1522615869.8134
MEM 115.187500 1522615869.9137
MEM 145.562500 1522615870.0140
