CMDLINE /home/r0b00sj/.conda/envs/capstone/bin/python fit_gensim_lda.py
MEM 4.312500 1522615652.2927
MEM 27.125000 1522615652.3929
MEM 44.687500 1522615652.4931
MEM 55.187500 1522615652.5933
MEM 77.437500 1522615652.6936
MEM 84.750000 1522615652.7938
MEM 87.437500 1522615652.8941
MEM 87.437500 1522615652.9943
MEM 87.437500 1522615653.0946
MEM 87.437500 1522615653.1948
MEM 87.437500 1522615653.2951
MEM 87.437500 1522615653.3953
MEM 87.437500 1522615653.4956
MEM 87.437500 1522615653.5958
MEM 87.437500 1522615653.6961
MEM 87.437500 1522615653.7963
MEM 87.437500 1522615653.8965
MEM 87.437500 1522615653.9968
MEM 87.437500 1522615654.0970
MEM 87.437500 1522615654.1973
MEM 87.437500 1522615654.2975
MEM 87.437500 1522615654.3978
MEM 87.437500 1522615654.4980
MEM 87.437500 1522615654.5982
MEM 87.437500 1522615654.6985
MEM 87.437500 1522615654.7987
MEM 87.437500 1522615654.8990
MEM 87.437500 1522615654.9993
MEM 87.437500 1522615655.0997
MEM 87.437500 1522615655.2000
MEM 87.437500 1522615655.3001
MEM 87.437500 1522615655.4003
MEM 87.437500 1522615655.5005
MEM 87.437500 1522615655.6007
MEM 87.437500 1522615655.7009
MEM 87.437500 1522615655.8012
MEM 87.437500 1522615655.9014
MEM 87.437500 1522615656.0016
MEM 87.437500 1522615656.1019
MEM 87.437500 1522615656.2021
MEM 87.437500 1522615656.3024
MEM 87.437500 1522615656.4026
MEM 87.437500 1522615656.5028
MEM 87.437500 1522615656.6031
MEM 87.437500 1522615656.7033
MEM 87.437500 1522615656.8035
MEM 87.437500 1522615656.9038
MEM 87.437500 1522615657.0040
MEM 87.437500 1522615657.1042
MEM 87.437500 1522615657.2044
MEM 87.437500 1522615657.3047
MEM 87.437500 1522615657.4050
MEM 87.437500 1522615657.5052
MEM 87.437500 1522615657.6054
MEM 87.437500 1522615657.7056
MEM 87.437500 1522615657.8059
MEM 87.437500 1522615657.9061
MEM 87.437500 1522615658.0064
MEM 87.437500 1522615658.1066
MEM 87.437500 1522615658.2068
MEM 87.437500 1522615658.3071
MEM 87.437500 1522615658.4073
MEM 87.437500 1522615658.5075
MEM 87.437500 1522615658.6078
MEM 87.437500 1522615658.7080
MEM 87.437500 1522615658.8082
MEM 87.437500 1522615658.9085
MEM 87.437500 1522615659.0087
MEM 87.437500 1522615659.1089
MEM 87.437500 1522615659.2092
MEM 87.437500 1522615659.3094
MEM 87.437500 1522615659.4096
MEM 87.437500 1522615659.5098
MEM 87.437500 1522615659.6101
MEM 87.437500 1522615659.7103
MEM 87.437500 1522615659.8106
MEM 87.437500 1522615659.9108
MEM 87.437500 1522615660.0110
MEM 87.437500 1522615660.1113
MEM 87.437500 1522615660.2115
MEM 87.437500 1522615660.3117
MEM 87.437500 1522615660.4120
MEM 87.437500 1522615660.5122
MEM 87.437500 1522615660.6124
MEM 87.437500 1522615660.7127
MEM 87.437500 1522615660.8129
MEM 87.437500 1522615660.9131
MEM 87.437500 1522615661.0134
MEM 87.437500 1522615661.1136
MEM 87.437500 1522615661.2138
MEM 87.437500 1522615661.3140
MEM 87.437500 1522615661.4143
MEM 87.437500 1522615661.5145
MEM 87.437500 1522615661.6147
MEM 87.437500 1522615661.7150
MEM 87.437500 1522615661.8152
MEM 87.437500 1522615661.9154
MEM 87.437500 1522615662.0157
MEM 87.437500 1522615662.1159
MEM 87.437500 1522615662.2161
MEM 87.437500 1522615662.3164
MEM 87.437500 1522615662.4166
MEM 87.437500 1522615662.5168
MEM 87.437500 1522615662.6171
MEM 87.437500 1522615662.7173
MEM 87.437500 1522615662.8175
MEM 87.437500 1522615662.9178
MEM 87.437500 1522615663.0180
MEM 87.437500 1522615663.1182
MEM 87.437500 1522615663.2185
MEM 87.437500 1522615663.3187
MEM 87.437500 1522615663.4189
MEM 87.437500 1522615663.5192
MEM 87.437500 1522615663.6194
MEM 87.437500 1522615663.7196
MEM 87.437500 1522615663.8198
MEM 87.437500 1522615663.9201
MEM 91.437500 1522615664.0203
MEM 171.937500 1522615664.1206
