CMDLINE /anaconda3/bin/python fit_gensim_lda.py
MEM 89.308594 1521750544.6906
MEM 95.484375 1521750544.7914
MEM 111.089844 1521750544.8962
MEM 114.164062 1521750544.9967
MEM 114.062500 1521750545.0999
MEM 118.804688 1521750545.2020
MEM 122.085938 1521750545.3024
MEM 121.355469 1521750545.4050
MEM 124.980469 1521750545.5078
MEM 126.664062 1521750545.6080
MEM 133.027344 1521750545.7132
MEM 142.230469 1521750545.8146
MEM 138.347656 1521750545.9163
MEM 143.519531 1521750546.0171
MEM 149.042969 1521750546.1213
MEM 168.394531 1521750546.2243
MEM 168.394531 1521750546.3246
MEM 168.394531 1521750546.4260
MEM 168.394531 1521750546.5270
MEM 168.394531 1521750546.6272
MEM 168.394531 1521750546.7308
MEM 168.394531 1521750546.8309
MEM 168.394531 1521750546.9344
MEM 168.394531 1521750547.0391
MEM 171.886719 1521750547.1405
MEM 172.824219 1521750547.2410
MEM 173.234375 1521750547.3413
MEM 173.597656 1521750547.4418
MEM 175.632812 1521750547.5470
MEM 175.707031 1521750547.6475
MEM 175.808594 1521750547.7509
MEM 175.871094 1521750547.8544
MEM 175.902344 1521750547.9566
MEM 175.917969 1521750548.0576
MEM 175.968750 1521750548.1580
MEM 175.968750 1521750548.2589
MEM 175.968750 1521750548.3595
MEM 175.972656 1521750548.4610
MEM 175.972656 1521750548.5624
MEM 178.046875 1521750548.6676
MEM 178.847656 1521750548.7698
MEM 178.863281 1521750548.8705
MEM 178.871094 1521750548.9725
MEM 178.871094 1521750549.0743
MEM 166.070312 1521750549.1746
MEM 161.781250 1521750549.2749
MEM 157.238281 1521750549.3757
MEM 160.207031 1521750549.4799
MEM 162.402344 1521750549.5808
MEM 168.941406 1521750549.6849
MEM 173.433594 1521750549.7891
MEM 176.015625 1521750549.8933
MEM 172.347656 1521750549.9943
MEM 186.988281 1521750550.0947
MEM 186.988281 1521750550.1953
MEM 186.988281 1521750550.2957
MEM 186.988281 1521750550.3969
MEM 186.988281 1521750550.4978
MEM 186.988281 1521750550.5980
MEM 186.988281 1521750550.6983
MEM 186.988281 1521750550.7985
MEM 186.218750 1521750550.9014
MEM 189.593750 1521750551.0034
MEM 192.058594 1521750551.1037
MEM 192.058594 1521750551.2071
MEM 192.121094 1521750551.3074
MEM 192.121094 1521750551.4107
MEM 192.218750 1521750551.5111
MEM 192.218750 1521750551.6145
MEM 192.226562 1521750551.7189
MEM 192.226562 1521750551.8238
MEM 192.230469 1521750551.9242
MEM 192.230469 1521750552.0288
MEM 192.230469 1521750552.1339
MEM 192.230469 1521750552.2342
MEM 192.230469 1521750552.3352
MEM 192.230469 1521750552.4355
MEM 192.230469 1521750552.5368
MEM 192.230469 1521750552.6408
MEM 192.230469 1521750552.7413
MEM 192.230469 1521750552.8465
MEM 192.230469 1521750552.9496
MEM 200.136719 1521750553.0510
MEM 173.511719 1521750553.1553
MEM 172.738281 1521750553.2575
MEM 172.265625 1521750553.3579
MEM 172.285156 1521750553.4592
MEM 177.914062 1521750553.5619
MEM 174.859375 1521750553.6624
MEM 180.398438 1521750553.7668
MEM 178.167969 1521750553.8705
MEM 191.089844 1521750553.9742
MEM 191.089844 1521750554.0745
MEM 191.089844 1521750554.1782
MEM 191.089844 1521750554.2801
MEM 191.089844 1521750554.3803
MEM 191.089844 1521750554.4817
MEM 191.089844 1521750554.5849
MEM 191.089844 1521750554.6873
MEM 186.679688 1521750554.7908
MEM 194.242188 1521750554.8959
MEM 194.960938 1521750554.9963
MEM 194.960938 1521750555.0965
MEM 194.960938 1521750555.1968
MEM 194.960938 1521750555.2971
MEM 194.960938 1521750555.3984
MEM 195.058594 1521750555.5016
MEM 195.058594 1521750555.6029
MEM 195.066406 1521750555.7081
MEM 195.066406 1521750555.8083
MEM 195.066406 1521750555.9135
MEM 195.113281 1521750556.0142
MEM 195.113281 1521750556.1194
MEM 195.113281 1521750556.2226
MEM 195.113281 1521750556.3241
MEM 195.113281 1521750556.4286
MEM 195.113281 1521750556.5305
MEM 195.113281 1521750556.6307
MEM 195.113281 1521750556.7311
MEM 196.113281 1521750556.8315
MEM 196.117188 1521750556.9319
MEM 196.117188 1521750557.0366
MEM 196.117188 1521750557.1393
MEM 196.117188 1521750557.2407
MEM 200.253906 1521750557.3411
MEM 198.867188 1521750557.4451
MEM 178.496094 1521750557.5503
MEM 178.757812 1521750557.6519
MEM 177.785156 1521750557.7567
MEM 176.984375 1521750557.8575
MEM 179.023438 1521750557.9579
MEM 177.968750 1521750558.0590
MEM 192.703125 1521750558.1602
MEM 192.703125 1521750558.2613
MEM 192.703125 1521750558.3617
MEM 192.703125 1521750558.4619
MEM 192.703125 1521750558.5625
MEM 192.703125 1521750558.6629
MEM 192.703125 1521750558.7631
MEM 192.703125 1521750558.8639
MEM 192.703125 1521750558.9653
MEM 192.703125 1521750559.0657
MEM 192.703125 1521750559.1663
MEM 192.703125 1521750559.2665
MEM 192.476562 1521750559.3675
MEM 195.410156 1521750559.4685
MEM 197.871094 1521750559.5693
MEM 198.312500 1521750559.6706
MEM 198.585938 1521750559.7727
MEM 198.621094 1521750559.8740
MEM 198.621094 1521750559.9744
MEM 198.671875 1521750560.0746
MEM 199.167969 1521750560.1769
MEM 199.167969 1521750560.2822
MEM 199.175781 1521750560.3829
MEM 199.175781 1521750560.4847
MEM 199.175781 1521750560.5858
MEM 199.203125 1521750560.6861
MEM 199.203125 1521750560.7874
MEM 199.203125 1521750560.8876
MEM 199.203125 1521750560.9896
MEM 199.203125 1521750561.0906
MEM 199.203125 1521750561.1920
MEM 199.203125 1521750561.2925
MEM 199.203125 1521750561.3930
MEM 199.203125 1521750561.4938
MEM 199.203125 1521750561.5954
MEM 199.207031 1521750561.6975
MEM 199.207031 1521750561.7977
MEM 199.207031 1521750561.8990
MEM 199.207031 1521750561.9993
MEM 199.207031 1521750562.1012
MEM 203.996094 1521750562.2018
MEM 186.511719 1521750562.3055
MEM 186.371094 1521750562.4079
MEM 186.371094 1521750562.5131
MEM 186.144531 1521750562.6156
MEM 181.792969 1521750562.7172
MEM 183.042969 1521750562.8184
MEM 177.804688 1521750562.9204
MEM 192.316406 1521750563.0240
MEM 192.316406 1521750563.1244
MEM 192.316406 1521750563.2246
MEM 192.316406 1521750563.3251
MEM 192.316406 1521750563.4280
MEM 192.316406 1521750563.5324
MEM 192.316406 1521750563.6327
MEM 192.316406 1521750563.7332
MEM 192.316406 1521750563.8338
MEM 192.316406 1521750563.9372
MEM 192.316406 1521750564.0374
MEM 192.316406 1521750564.1381
MEM 192.316406 1521750564.2383
MEM 192.316406 1521750564.3406
MEM 192.316406 1521750564.4408
MEM 192.316406 1521750564.5430
MEM 195.218750 1521750564.6470
MEM 197.683594 1521750564.7476
MEM 197.683594 1521750564.8478
MEM 197.683594 1521750564.9510
MEM 197.683594 1521750565.0547
MEM 197.683594 1521750565.1567
MEM 197.683594 1521750565.2573
MEM 197.734375 1521750565.3577
MEM 197.781250 1521750565.4585
MEM 197.781250 1521750565.5587
MEM 197.789062 1521750565.6593
MEM 197.789062 1521750565.7596
MEM 197.789062 1521750565.8599
MEM 197.792969 1521750565.9628
MEM 197.792969 1521750566.0630
MEM 197.792969 1521750566.1683
MEM 197.792969 1521750566.2686
MEM 197.792969 1521750566.3705
MEM 197.792969 1521750566.4708
MEM 197.792969 1521750566.5711
MEM 197.792969 1521750566.6739
MEM 197.792969 1521750566.7743
MEM 197.792969 1521750566.8761
MEM 197.792969 1521750566.9813
MEM 197.792969 1521750567.0860
MEM 197.792969 1521750567.1906
MEM 197.792969 1521750567.2958
MEM 197.792969 1521750567.3963
MEM 197.792969 1521750567.4966
MEM 178.781250 1521750567.6019
MEM 179.136719 1521750567.7048
MEM 178.492188 1521750567.8052
MEM 177.910156 1521750567.9072
MEM 177.988281 1521750568.0077
MEM 182.640625 1521750568.1097
MEM 180.085938 1521750568.2136
MEM 181.562500 1521750568.3189
MEM 194.242188 1521750568.4217
MEM 194.242188 1521750568.5219
MEM 194.242188 1521750568.6229
MEM 194.242188 1521750568.7231
MEM 194.242188 1521750568.8239
MEM 194.242188 1521750568.9241
MEM 194.242188 1521750569.0288
MEM 194.242188 1521750569.1291
MEM 194.242188 1521750569.2329
MEM 194.242188 1521750569.3332
MEM 194.242188 1521750569.4392
MEM 194.242188 1521750569.5395
MEM 194.242188 1521750569.6397
MEM 194.242188 1521750569.7403
MEM 194.242188 1521750569.8406
MEM 194.242188 1521750569.9437
MEM 194.242188 1521750570.0443
MEM 194.242188 1521750570.1496
MEM 197.867188 1521750570.2504
MEM 199.828125 1521750570.3538
MEM 199.828125 1521750570.4542
MEM 199.828125 1521750570.5547
MEM 199.828125 1521750570.6559
MEM 199.828125 1521750570.7568
MEM 199.828125 1521750570.8571
MEM 199.878906 1521750570.9576
MEM 199.925781 1521750571.0604
MEM 199.925781 1521750571.1606
MEM 199.933594 1521750571.2618
MEM 199.933594 1521750571.3620
MEM 199.933594 1521750571.4631
MEM 199.937500 1521750571.5658
MEM 199.937500 1521750571.6687
MEM 199.937500 1521750571.7699
MEM 199.937500 1521750571.8742
MEM 199.937500 1521750571.9745
MEM 199.937500 1521750572.0748
MEM 199.937500 1521750572.1752
MEM 199.937500 1521750572.2756
MEM 199.937500 1521750572.3809
MEM 199.937500 1521750572.4828
MEM 199.937500 1521750572.5831
MEM 199.937500 1521750572.6877
MEM 199.937500 1521750572.7894
MEM 199.937500 1521750572.8905
MEM 199.937500 1521750572.9907
MEM 199.937500 1521750573.0911
MEM 199.937500 1521750573.1965
MEM 205.535156 1521750573.2975
MEM 180.265625 1521750573.4028
MEM 179.789062 1521750573.5072
MEM 179.789062 1521750573.6118
MEM 178.828125 1521750573.7133
MEM 178.132812 1521750573.8183
MEM 179.097656 1521750573.9200
MEM 175.843750 1521750574.0239
MEM 193.914062 1521750574.1242
MEM 193.914062 1521750574.2298
MEM 193.914062 1521750574.3304
MEM 193.914062 1521750574.4306
MEM 193.914062 1521750574.5315
MEM 193.914062 1521750574.6334
MEM 193.914062 1521750574.7336
MEM 193.914062 1521750574.8338
MEM 193.914062 1521750574.9340
MEM 193.914062 1521750575.0350
MEM 193.914062 1521750575.1355
MEM 193.914062 1521750575.2366
MEM 193.914062 1521750575.3391
MEM 193.914062 1521750575.4396
MEM 193.914062 1521750575.5397
MEM 193.914062 1521750575.6403
MEM 193.914062 1521750575.7408
MEM 193.914062 1521750575.8411
MEM 195.625000 1521750575.9434
MEM 196.453125 1521750576.0439
MEM 198.914062 1521750576.1454
MEM 199.355469 1521750576.2458
MEM 199.664062 1521750576.3490
MEM 199.664062 1521750576.4524
MEM 199.664062 1521750576.5543
MEM 199.714844 1521750576.6585
MEM 200.210938 1521750576.7609
MEM 200.210938 1521750576.8640
MEM 200.218750 1521750576.9649
MEM 200.218750 1521750577.0651
MEM 200.218750 1521750577.1691
MEM 200.222656 1521750577.2700
MEM 200.246094 1521750577.3704
MEM 200.246094 1521750577.4707
MEM 200.246094 1521750577.5728
MEM 200.246094 1521750577.6738
MEM 200.246094 1521750577.7741
MEM 200.246094 1521750577.8754
MEM 200.246094 1521750577.9780
MEM 200.246094 1521750578.0785
MEM 200.246094 1521750578.1794
MEM 200.246094 1521750578.2800
MEM 200.246094 1521750578.3836
MEM 200.250000 1521750578.4841
MEM 200.250000 1521750578.5867
MEM 200.250000 1521750578.6907
MEM 200.250000 1521750578.7910
MEM 200.250000 1521750578.8916
MEM 207.804688 1521750578.9939
MEM 207.894531 1521750579.0942
MEM 190.785156 1521750579.1972
MEM 183.425781 1521750579.3005
MEM 182.574219 1521750579.4030
MEM 184.402344 1521750579.5047
MEM 178.183594 1521750579.6070
MEM 180.789062 1521750579.7074
MEM 196.984375 1521750579.8096
MEM 194.871094 1521750579.9107
MEM 194.871094 1521750580.0137
MEM 194.871094 1521750580.1146
MEM 194.871094 1521750580.2159
MEM 194.871094 1521750580.3202
MEM 194.871094 1521750580.4206
MEM 194.871094 1521750580.5210
MEM 194.871094 1521750580.6236
MEM 194.871094 1521750580.7238
MEM 194.871094 1521750580.8240
MEM 194.871094 1521750580.9292
MEM 194.871094 1521750581.0295
MEM 194.871094 1521750581.1346
MEM 194.871094 1521750581.2366
MEM 194.871094 1521750581.3375
MEM 194.871094 1521750581.4380
MEM 194.871094 1521750581.5384
MEM 194.871094 1521750581.6403
MEM 198.328125 1521750581.7407
MEM 198.542969 1521750581.8459
MEM 200.730469 1521750581.9463
MEM 200.730469 1521750582.0515
MEM 201.039062 1521750582.1565
MEM 201.039062 1521750582.2568
MEM 201.039062 1521750582.3574
MEM 201.136719 1521750582.4577
MEM 201.585938 1521750582.5590
MEM 201.585938 1521750582.6629
MEM 201.593750 1521750582.7631
MEM 201.593750 1521750582.8675
MEM 201.593750 1521750582.9704
MEM 201.621094 1521750583.0714
MEM 201.621094 1521750583.1736
MEM 201.621094 1521750583.2751
MEM 201.621094 1521750583.3804
MEM 201.621094 1521750583.4809
MEM 201.621094 1521750583.5814
MEM 201.621094 1521750583.6817
MEM 201.621094 1521750583.7825
MEM 201.621094 1521750583.8872
MEM 201.621094 1521750583.9898
MEM 201.621094 1521750584.0901
MEM 201.625000 1521750584.1906
MEM 201.625000 1521750584.2958
MEM 201.625000 1521750584.4011
MEM 201.625000 1521750584.5030
MEM 201.625000 1521750584.6033
MEM 201.625000 1521750584.7069
MEM 205.378906 1521750584.8074
MEM 204.679688 1521750584.9076
MEM 204.703125 1521750585.0089
MEM 204.714844 1521750585.1141
MEM 204.468750 1521750585.2194
MEM 179.296875 1521750585.3246
MEM 179.609375 1521750585.4256
MEM 182.132812 1521750585.5276
MEM 196.421875 1521750585.6284
MEM 196.421875 1521750585.7287
MEM 196.421875 1521750585.8338
MEM 196.421875 1521750585.9352
MEM 196.421875 1521750586.0358
MEM 196.421875 1521750586.1365
MEM 196.421875 1521750586.2394
MEM 196.421875 1521750586.3397
MEM 196.421875 1521750586.4401
MEM 196.421875 1521750586.5448
MEM 196.421875 1521750586.6451
MEM 196.421875 1521750586.7468
MEM 196.421875 1521750586.8502
MEM 196.421875 1521750586.9504
MEM 196.421875 1521750587.0527
MEM 196.421875 1521750587.1537
MEM 196.421875 1521750587.2542
MEM 196.421875 1521750587.3547
MEM 194.761719 1521750587.4583
MEM 199.140625 1521750587.5586
MEM 201.605469 1521750587.6590
MEM 201.605469 1521750587.7639
MEM 201.605469 1521750587.8685
MEM 201.605469 1521750587.9698
MEM 201.605469 1521750588.0706
MEM 201.605469 1521750588.1713
MEM 201.703125 1521750588.2715
MEM 201.703125 1521750588.3718
MEM 201.703125 1521750588.4733
MEM 201.710938 1521750588.5739
MEM 201.710938 1521750588.6791
MEM 201.710938 1521750588.7799
MEM 201.714844 1521750588.8829
MEM 201.714844 1521750588.9833
MEM 201.714844 1521750589.0836
MEM 201.714844 1521750589.1876
MEM 201.714844 1521750589.2885
MEM 201.714844 1521750589.3901
MEM 201.714844 1521750589.4905
MEM 201.714844 1521750589.5906
MEM 201.714844 1521750589.6945
MEM 201.839844 1521750589.7965
MEM 201.839844 1521750589.8967
MEM 202.109375 1521750589.9970
MEM 202.109375 1521750590.0973
MEM 202.109375 1521750590.1978
MEM 202.109375 1521750590.2980
MEM 202.109375 1521750590.3986
MEM 202.109375 1521750590.5000
MEM 210.312500 1521750590.6044
MEM 183.476562 1521750590.7068
MEM 182.996094 1521750590.8072
MEM 182.933594 1521750590.9101
MEM 182.933594 1521750591.0109
MEM 182.417969 1521750591.1127
MEM 186.742188 1521750591.2178
MEM 180.519531 1521750591.3200
MEM 183.539062 1521750591.4202
MEM 181.875000 1521750591.5205
MEM 195.980469 1521750591.6212
MEM 195.980469 1521750591.7216
MEM 195.980469 1521750591.8228
MEM 195.980469 1521750591.9255
MEM 195.980469 1521750592.0295
MEM 195.980469 1521750592.1304
MEM 195.980469 1521750592.2342
MEM 195.980469 1521750592.3345
MEM 195.980469 1521750592.4350
MEM 195.980469 1521750592.5367
MEM 195.980469 1521750592.6373
MEM 195.980469 1521750592.7388
MEM 195.980469 1521750592.8390
MEM 195.980469 1521750592.9398
MEM 195.980469 1521750593.0427
MEM 195.980469 1521750593.1467
MEM 195.980469 1521750593.2469
MEM 195.980469 1521750593.3473
MEM 197.082031 1521750593.4520
MEM 199.441406 1521750593.5549
MEM 201.902344 1521750593.6551
MEM 202.343750 1521750593.7555
MEM 202.343750 1521750593.8557
MEM 202.652344 1521750593.9559
MEM 202.652344 1521750594.0567
MEM 202.703125 1521750594.1570
MEM 203.199219 1521750594.2575
MEM 203.199219 1521750594.3580
MEM 203.207031 1521750594.4589
MEM 203.207031 1521750594.5592
MEM 203.207031 1521750594.6626
MEM 203.207031 1521750594.7637
MEM 203.234375 1521750594.8649
MEM 203.234375 1521750594.9687
MEM 203.234375 1521750595.0699
MEM 203.234375 1521750595.1712
MEM 203.234375 1521750595.2716
MEM 203.234375 1521750595.3772
MEM 203.234375 1521750595.4795
MEM 203.234375 1521750595.5798
MEM 203.234375 1521750595.6814
MEM 203.234375 1521750595.7828
MEM 203.234375 1521750595.8832
MEM 203.238281 1521750595.9836
MEM 203.238281 1521750596.0869
MEM 203.238281 1521750596.1897
MEM 203.238281 1521750596.2900
MEM 203.238281 1521750596.3902
MEM 173.214844 1521750596.4931
MEM 109.906250 1521750596.5974
MEM 108.101562 1521750596.6988
